"Page","Category","FileExists","HttpStatus","HttpLegacy","BrokenAssets","MissingScripts","BlackBoxFail","WhiteBox","Notes","BlackBox","WhiteBoxStatus"
"admin\agendamento-adm.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\Coletas-ADM-Ecoponto.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\configuracoes-adm.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\configuracoes-ADM-Ecoponto.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\ecoponto-adm.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\edicao-perfil-admin.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\Home-ADM.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\Home-ADM-Ecoponto.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\Login-ADM.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\Login-ADM-Ecoponto.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\mapa-publico-adm.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\materias-ADM-Ecoponto.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
"admin\relatorio-adm.html","Admin","True","200",,"System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","OK","OK"
